Model,weight,height,,,,,
GL12CM,25,1,,,,,
LEDs,grid_X,grid_Y,area,leftTop_x,leftTop_x,rightBottom_x,rightBottom_y
1,0,0,1,0,0,0,0
2,1,0,1,0,0,0,0
3,2,0,1,0,0,0,0
4,3,0,1,0,0,0,0
5,4,0,1,0,0,0,0
6,5,0,1,0,0,0,0
7,6,0,1,0,0,0,0
8,7,0,1,0,0,0,0
9,8,0,1,0,0,0,0
10,9,0,1,0,0,0,0
11,10,0,1,0,0,0,0
12,11,0,1,0,0,0,0
13,12,0,1,0,0,0,0
14,13,0,1,0,0,0,0
15,13,0,1,0,0,0,0
16,13,0,1,0,0,0,0
17,3,0,1,0,0,0,0
18,4,0,1,0,0,0,0
19,5,0,1,0,0,0,0
20,6,0,1,0,0,0,0
21,7,0,1,0,0,0,0
22,8,0,1,0,0,0,0
23,9,0,1,0,0,0,0
24,10,0,1,0,0,0,0
25,11,0,1,0,0,0,0
