Index,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y
Frame 1,95,36,111,46
Frame 2,112,36,128,46
Frame 3,140,36,156,46
Frame 4,158,36,174,46
Frame 5,176,36,192,46
Frame 6,193,36,209,46
Frame 7,22,56,35,69
Frame 8,59,56,72,69
Frame 9,76,56,89,69
Frame 10,93,56,106,69
Frame 11,111,56,124,69
Frame 12,140,56,153,69
Frame 13,158,56,171,69
Frame 14,176,56,189,69
Frame 15,194,56,207,69
Frame 16,221,56,234,69
Frame 17,239,56,252,69
Frame 18,258,56,271,69
Frame 19,276,56,289,69
Frame 20,299,56,312,69
Frame 21,317,56,330,69
Frame 22,334,56,347,69
Frame 23,22,81,35,94
Frame 24,40,81,53,94
Frame 25,58,81,71,94
Frame 26,76,81,89,94
Frame 27,95,81,108,94
Frame 28,113,81,126,94
Frame 29,131,81,144,94
Frame 30,149,81,162,94
Frame 31,168,81,181,94
Frame 32,186,81,199,94
Frame 33,203,81,216,94
Frame 34,221,81,234,94
Frame 35,239,81,252,94
Frame 36,259,81,288,94
Frame 37,299,82,312,95
Frame 38,317,82,330,95
Frame 39,334,82,347,95
Frame 40,358,82,371,95
Frame 41,376,82,389,95
Frame 42,394,82,407,95
Frame 43,412,82,425,95
Frame 44,23,99,44,112
Frame 45,50,99,63,112
Frame 46,68,99,81,112
Frame 47,86,99,99,112
Frame 48,104,99,117,112
Frame 49,122,99,135,112
Frame 50,140,99,153,112
Frame 51,158,99,171,112
Frame 52,176,99,189,112
Frame 53,195,99,208,112
Frame 54,213,99,226,112
Frame 55,231,99,244,112
Frame 56,249,99,262,112
Frame 57,267,99,288,112
Frame 58,299,99,312,112
Frame 59,317,99,330,112
Frame 60,334,99,347,112
Frame 61,358,99,371,112
Frame 62,376,99,389,112
Frame 63,394,99,407,112
Frame 64,412,99,425,129
Frame 65,358,116,371,129
Frame 66,376,116,389,129
Frame 67,394,116,407,129
Frame 68,23,117,48,130
Frame 69,54,117,67,130
Frame 70,73,117,86,130
Frame 71,90,117,103,130
Frame 72,108,117,121,130
Frame 73,127,117,140,130
Frame 74,145,117,158,130
Frame 75,163,117,176,130
Frame 76,181,117,194,130
Frame 77,199,117,212,130
Frame 78,217,117,230,130
Frame 79,235,117,248,130
Frame 80,254,117,288,130
Frame 81,317,134,330,147
Frame 82,358,134,371,147
Frame 83,376,134,389,147
Frame 84,394,134,407,147
Frame 85,412,134,425,164
Frame 86,23,135,57,148
Frame 87,63,135,76,148
Frame 88,81,135,94,148
Frame 89,99,135,112,148
Frame 90,118,135,131,148
Frame 91,136,135,149,148
Frame 92,154,135,167,148
Frame 93,172,135,185,148
Frame 94,190,135,203,148
Frame 95,208,135,221,148
Frame 96,226,135,239,148
Frame 97,245,135,288,148
Frame 98,359,151,389,164
Frame 99,394,151,407,164
Frame 100,23,153,40,166
Frame 101,46,153,63,166
Frame 102,68,153,85,166
Frame 103,91,153,198,166
Frame 104,204,153,221,166
Frame 105,226,153,243,166
Frame 106,249,153,266,166
Frame 107,272,153,289,166
Frame 108,299,153,312,166
Frame 109,317,153,330,166
Frame 110,335,153,348,166
