Model,Flare_UK,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note
LED 0,0,0,1,45,76,63,93,0,ESC
LED 1,1,0,0,-1,-1,-1,-1,0,
LED 2,2,0,0,-1,-1,-1,-1,0,
LED 3,3,0,1,90,76,108,93,0,F1
LED 4,4,0,1,113,76,131,93,0,F2
LED 5,5,0,1,137,76,154,93,0,F3
LED 6,6,0,1,160,76,178,93,0,F4
LED 7,7,0,0,-1,-1,-1,-1,0,
LED 8,8,0,1,193,76,210,93,0,F5
LED 9,9,0,1,216,76,234,93,0,F6
LED 10,10,0,1,239,76,257,93,0,F7
LED 11,11,0,1,263,76,280,93,0,F8
LED 12,12,0,1,295,76,313,93,0,F9
LED 13,13,0,1,319,76,336,93,0,F10
LED 14,14,0,1,342,76,360,93,0,F11
LED 15,15,0,1,365,76,383,93,0,F12
LED 16,16,0,1,393,76,411,93,0,PRINT
LED 17,17,0,1,416,76,434,93,0,SCROLL
LED 18,18,0,1,440,76,457,93,0,PAUSE
LED 19,19,0,0,-1,-1,-1,-1,0,G1
LED 20,20,0,0,-1,-1,-1,-1,0,G2
LED 21,21,0,0,-1,-1,-1,-1,0,G3
LED 22,22,0,0,-1,-1,-1,-1,0,G4
LED 23,23,0,0,-1,-1,-1,-1,0,ROG Logo
LED 24,0,1,1,45,109,63,126,0,TLIDE
LED 25,1,1,0,-1,-1,-1,-1,0,
LED 26,2,1,1,67,109,85,126,0,1
LED 27,3,1,1,90,109,108,126,0,2
LED 28,4,1,1,113,109,131,126,0,3
LED 29,5,1,1,136,109,154,126,0,4
LED 30,6,1,1,159,109,177,126,0,5
LED 31,7,1,1,181,109,199,126,0,6
LED 32,8,1,1,204,109,222,126,0,7
LED 33,9,1,1,227,109,245,126,0,8
LED 34,10,1,1,250,109,268,126,0,9
LED 35,11,1,1,274,109,292,126,0,0
LED 36,12,1,1,296,109,314,126,0,NEG
LED 37,13,1,1,319,109,337,126,0,EQUATION
LED 38,14,1,0,-1,-1,-1,-1,0,
LED 39,15,1,1,342,109,382,126,0,BACKSPACE
LED 40,16,1,1,394,109,411,126,0,INSERT
LED 41,17,1,1,416,109,434,126,0,HOME
LED 42,18,1,1,439,109,457,126,0,PGUP
LED 43,19,1,1,469,109,486,126,0,NUM_LOCK
LED 44,20,1,1,491,109,509,126,0,NUM_DIV
LED 45,21,1,1,514,109,532,126,0,NUM_STAR
LED 46,22,1,1,537,109,554,126,0,NUM_NEG
LED 47,23,1,0,-1,-1,-1,-1,0,L_LED
LED 48,0,2,1,45,131,74,149,0,TAB
LED 49,1,2,0,-1,-1,-1,-1,0,
LED 50,2,2,1,79,131,97,149,0,Q
LED 51,3,2,1,102,131,120,149,0,W
LED 52,4,2,1,125,131,143,149,0,E
LED 53,5,2,1,148,131,165,149,0,R
LED 54,6,2,1,171,131,188,149,0,T
LED 55,7,2,1,193,131,210,149,0,Y
LED 56,8,2,1,216,131,233,149,0,U
LED 57,9,2,1,238,131,256,149,0,I
LED 58,10,2,1,262,131,279,149,0,O
LED 59,11,2,1,285,131,303,149,0,P
LED 60,12,2,1,308,131,325,149,0,L_BRACKETS
LED 61,13,2,1,331,131,348,149,0,R_BRACKETS
LED 62,14,2,0,-1,-1,-1,-1,0,
LED 63,15,2,0,-1,-1,-1,-1,0,BACKSLASH
LED 64,16,2,1,394,131,411,149,0,DEL
LED 65,17,2,1,416,131,434,149,0,END
LED 66,18,2,1,439,131,457,149,0,PGDN
LED 67,19,2,1,469,131,486,149,0,NUM_7
LED 68,20,2,1,491,131,509,149,0,NUM_8
LED 69,21,2,1,514,131,532,149,0,NUM_9
LED 70,22,2,1,537,131,554,172,0,NUM_PLUS
LED 71,23,2,0,-1,-1,-1,-1,0,R_LED
LED 72,0,3,1,45,154,80,172,0,CAP
LED 73,1,3,0,-1,-1,-1,-1,0,
LED 74,2,3,1,85,154,103,172,0,A
LED 75,3,3,1,108,154,125,172,0,S
LED 76,4,3,1,131,154,148,172,0,D
LED 77,5,3,1,153,154,171,172,0,F
LED 78,6,3,1,176,154,194,172,0,G
LED 79,7,3,1,198,154,216,172,0,H
LED 80,8,3,1,221,154,239,172,0,J
LED 81,9,3,1,244,154,262,172,0,K
LED 82,10,3,1,267,154,285,172,0,L
LED 83,11,3,1,291,154,309,172,0,SEMICOLON
LED 84,12,3,1,313,154,331,172,0,APOSTROPHE
LED 85,13,3,1,336,154,354,172,0,CODE42(EU)
LED 86,14,3,0,-1,-1,-1,-1,0,
LED 87,15,3,1,357,131,382,172,0,ENTER
LED 88,16,3,1,-1,-1,-1,-1,0,
LED 89,17,3,1,-1,-1,-1,-1,0,
LED 90,18,3,1,-1,-1,-1,-1,0,
LED 91,19,3,1,469,154,486,172,0,NUM_4
LED 92,20,3,1,491,154,509,172,0,NUM_5
LED 93,21,3,1,514,154,532,172,0,NUM_6
LED 94,22,3,0,-1,-1,-1,-1,0,
LED 95,23,3,0,-1,-1,-1,-1,0,
LED 96,0,4,1,45,177,69,195,0,L_SHIFT
LED 97,1,4,1,74,177,91,195,0,CODE45(EU)
LED 98,2,4,1,96,177,114,195,0,Z
LED 99,3,4,1,119,177,137,195,0,X
LED 100,4,4,1,142,177,160,195,0,C
LED 101,5,4,1,165,177,182,195,0,V
LED 102,6,4,1,187,177,205,195,0,B
LED 103,7,4,1,210,177,227,195,0,N
LED 104,8,4,1,233,177,250,195,0,M
LED 105,9,4,1,256,177,274,195,0,COMMA
LED 106,10,4,1,280,177,297,195,0,DOT
LED 107,11,4,1,302,177,319,195,0,SLASH
LED 108,12,4,0,-1,-1,-1,-1,0,
LED 109,13,4,0,-1,-1,-1,-1,0,
LED 110,14,4,0,-1,-1,-1,-1,0,
LED 111,15,4,1,325,177,381,195,0,R_SHIFT
LED 112,16,4,0,-1,-1,-1,-1,0,
LED 113,17,4,1,416,177,434,195,0,UP_ARROW
LED 114,18,4,0,-1,-1,-1,-1,0,
LED 115,19,4,1,469,177,486,195,0,NUM_1
LED 116,20,4,1,491,177,509,195,0,NUM_2
LED 117,21,4,1,514,177,532,195,0,NUM_3
LED 118,22,4,1,537,177,554,218,0,NUM_ENTER
LED 119,23,4,0,-1,-1,-1,-1,0,
LED 120,0,5,1,46,200,68,218,0,L_CTRL
LED 121,1,5,1,74,200,97,218,0,L_WIN
LED 122,2,5,1,104,200,125,218,0,L_ALT
LED 123,3,5,0,-1,-1,-1,-1,0,
LED 124,4,5,0,-1,-1,-1,-1,0,
LED 125,5,5,0,-1,-1,-1,-1,0,
LED 126,6,5,1,132,200,267,218,0,SPACE
LED 127,7,5,0,-1,-1,-1,-1,0,
LED 128,8,5,0,-1,-1,-1,-1,0,
LED 129,9,5,1,274,200,296,218,0,R_ALT
LED 130,10,5,0,-1,-1,-1,-1,0,
LED 131,11,5,1,302,200,324,218,0,FN
LED 132,12,5,1,331,200,353,218,0,APP
LED 133,13,5,0,-1,-1,-1,-1,0,
LED 134,14,5,0,-1,-1,-1,-1,0,
LED 135,15,5,1,359,200,381,218,0,R_CTRL
LED 136,16,5,1,393,200,411,218,0,L_ARROW
LED 137,17,5,1,416,200,434,218,0,DN_ARROW
LED 138,18,5,1,439,200,456,218,0,R_ARROW
LED 139,19,5,1,469,200,509,218,0,NUM_0
LED 140,20,5,0,-1,-1,-1,-1,0,
LED 141,21,5,1,514,200,532,218,0,NUM_DOT
