Model,Flare_US,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note
LED 0,0,0,1,50,76,67,93,0,ESC
LED 1,1,0,0,-1,-1,-1,-1,0,
LED 2,2,0,0,-1,-1,-1,-1,0,
LED 3,3,0,1,93,76,111,93,0,F1
LED 4,4,0,1,116,76,134,93,0,F2
LED 5,5,0,1,139,76,156,93,0,F3
LED 6,6,0,1,161,76,179,93,0,F4
LED 7,7,0,0,-1,-1,-1,-1,0,
LED 8,8,0,1,195,76,213,93,0,F5
LED 9,9,0,1,218,76,235,93,0,F6
LED 10,10,0,1,240,76,258,93,0,F7
LED 11,11,0,1,263,76,281,93,0,F8
LED 12,12,0,1,297,76,315,93,0,F9
LED 13,13,0,1,320,76,337,93,0,F10
LED 14,14,0,1,342,76,360,93,0,F11
LED 15,15,0,1,364,76,382,93,0,F12
LED 16,16,0,1,393,76,411,93,0,PRINT
LED 17,17,0,1,416,76,433,93,0,SCROLL
LED 18,18,0,1,438,76,456,93,0,PAUSE
LED 19,19,0,0,-1,-1,-1,-1,0,G1
LED 20,20,0,0,-1,-1,-1,-1,0,G2
LED 21,21,0,0,-1,-1,-1,-1,0,G3
LED 22,22,0,0,-1,-1,-1,-1,0,G4
LED 23,23,0,0,-1,-1,-1,-1,0,ROG Logo
LED 24,0,1,1,50,108,67,125,0,TLIDE
LED 25,1,1,0,-1,-1,-1,-1,0,
LED 26,2,1,1,72,108,90,125,0,1
LED 27,3,1,1,94,108,112,125,0,2
LED 28,4,1,1,117,108,135,125,0,3
LED 29,5,1,1,140,108,158,125,0,4
LED 30,6,1,1,161,108,179,125,0,5
LED 31,7,1,1,183,108,201,125,0,6
LED 32,8,1,1,206,108,224,125,0,7
LED 33,9,1,1,228,108,246,125,0,8
LED 34,10,1,1,252,108,270,125,0,9
LED 35,11,1,1,275,108,292,125,0,0
LED 36,12,1,1,298,108,316,125,0,NEG
LED 37,13,1,1,320,108,338,125,0,EQUATION
LED 38,14,1,0,-1,-1,-1,-1,0,
LED 39,15,1,1,341,108,382,125,0,BACKSPACE
LED 40,16,1,1,392,108,410,125,0,INSERT
LED 41,17,1,1,415,108,433,125,0,HOME
LED 42,18,1,1,438,108,456,125,0,PGUP
LED 43,19,1,1,467,108,484,125,0,NUM_LOCK
LED 44,20,1,1,490,108,507,125,0,NUM_DIV
LED 45,21,1,1,512,108,530,125,0,NUM_STAR
LED 46,22,1,1,535,108,553,125,0,NUM_NEG
LED 47,23,1,0,-1,-1,-1,-1,0,L_LED
LED 48,0,2,1,50,130,77,148,0,TAB
LED 49,1,2,0,-1,-1,-1,-1,0,
LED 50,2,2,1,84,130,102,148,0,Q
LED 51,3,2,1,105,130,123,148,0,W
LED 52,4,2,1,129,130,146,148,0,E
LED 53,5,2,1,150,130,168,148,0,R
LED 54,6,2,1,173,130,191,148,0,T
LED 55,7,2,1,195,130,213,148,0,Y
LED 56,8,2,1,218,130,236,148,0,U
