Parameters,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index
LED 1,1,90,67,208,134,1
LED 2,1,132,255,149,265,1
LED 3,1,173,255,190,265,1
LED 4,1,192,255,209,265,1
LED 5,1,212,255,229,265,1
LED 6,1,232,255,249,265,1
LED 7,1,263,255,281,265,1
LED 8,1,283,255,300,265,1
LED 9,1,303,255,320,265,1
LED 10,1,322,255,340,265,1
LED 11,1,354,255,371,265,1
LED 12,1,374,255,391,265,1
LED 13,1,394,255,411,265,1
LED 14,1,413,255,430,265,1
LED 15,1,440,255,457,265,1
LED 16,1,460,255,478,265,1
LED 17,1,480,255,497,265,1
LED 18,1,500,255,517,265,1
LED 19,1,132,268,149,286,1
LED 20,1,152,268,169,286,1
LED 21,1,172,268,189,286,1
LED 22,1,192,268,209,286,1
LED 23,1,212,268,229,286,1
LED 24,1,232,268,249,286,1
LED 25,1,252,268,269,286,1
LED 26,1,272,268,289,286,1
LED 27,1,292,268,310,286,1
LED 28,1,313,268,330,286,1
LED 29,1,333,268,350,286,1
LED 30,1,353,268,370,286,1
LED 31,1,373,268,390,286,1
LED 32,1,393,268,430,286,1
LED 33,1,440,268,457,286,1
LED 34,1,460,268,478,286,1
LED 35,1,480,268,497,286,1
LED 36,1,500,268,517,286,1
LED 37,1,440,288,457,306,1
LED 38,1,460,288,478,306,1
LED 39,1,481,288,498,306,1
LED 40,1,500,288,517,326,1
LED 41,1,132,288,159,306,1
LED 42,1,162,288,179,306,1
LED 43,1,182,288,199,306,1
LED 44,1,202,288,219,306,1
LED 45,1,222,288,239,306,1
LED 46,1,242,288,260,306,1
LED 47,1,263,288,280,306,1
LED 48,1,283,288,300,306,1
LED 49,1,303,288,320,306,1
LED 50,1,323,288,340,306,1
LED 51,1,343,288,360,306,1
LED 52,1,363,288,380,306,1
LED 53,1,383,288,401,306,1
LED 54,1,404,288,431,306,1
LED 55,1,132,308,164,326,1
LED 56,1,167,308,184,326,1
LED 57,1,187,308,204,326,1
LED 58,1,207,308,224,326,1
LED 59,1,227,308,244,326,1
LED 60,1,247,308,264,326,1
LED 61,1,267,308,285,326,1
LED 62,1,288,308,305,326,1
LED 63,1,308,308,325,326,1
LED 64,1,328,308,345,326,1
LED 65,1,348,308,365,326,1
LED 66,1,368,308,385,326,1
LED 67,1,388,308,431,326,1
LED 68,1,440,308,457,326,1
LED 69,1,460,308,478,326,1
LED 70,1,481,308,498,326,1
LED 71,1,132,328,175,346,1
LED 72,1,177,328,194,346,1
LED 73,1,197,328,214,346,1
LED 74,1,217,328,234,346,1
LED 75,1,237,328,254,346,1
LED 76,1,257,328,274,346,1
LED 77,1,277,328,295,346,1
LED 78,1,298,328,315,346,1
LED 79,1,318,328,335,346,1
LED 80,1,338,328,355,346,1
LED 81,1,358,328,375,346,1
LED 82,1,378,328,431,346,1
LED 83,1,440,328,457,346,1
LED 84,1,460,328,478,346,1
LED 85,1,481,328,498,346,1
LED 86,1,500,328,517,365,1
LED 87,1,132,348,154,365,1
LED 88,1,157,348,174,365,1
LED 89,1,177,348,194,365,1
LED 90,1,197,348,214,365,1
LED 91,1,217,348,315,365,1
LED 92,1,318,348,335,365,1
LED 93,1,338,348,355,365,1
LED 94,1,358,348,375,365,1
LED 95,1,378,348,431,365,1
LED 96,1,440,348,457,365,1
LED 97,1,460,348,478,365,1
LED 98,1,481,348,498,365,1
LED 99,1,420,368,437,385,1
LED 100,1,440,368,457,385,1
LED 101,1,460,368,477,385,1
