GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 167,20,7,1,542,402,1243,803,1,LOGO,
LED 0,0,0,0,-1,-1,-1,-1,1,NULL,
LED 1,1,0,0,-1,-1,-1,-1,1,NULL,
LED 2,2,0,0,-1,-1,-1,-1,1,VOL_DN,
LED 3,3,0,0,-1,-1,-1,-1,1,VOL_UP,
LED 4,4,0,0,-1,-1,-1,-1,1,MUTE,
LED 5,5,0,0,-1,-1,-1,-1,1,AURA,
LED 6,6,0,0,-1,-1,-1,-1,1,XBOX,
LED 7,7,0,0,-1,-1,-1,-1,1,REC,
LED 8,8,0,0,-1,-1,-1,-1,1,ROG,
LED 9,9,0,0,-1,-1,-1,-1,1,NULL,
LED 10,10,0,0,-1,-1,-1,-1,1,NULL,
LED 11,11,0,0,-1,-1,-1,-1,1,NULL,
LED 12,12,0,0,-1,-1,-1,-1,1,NULL,
LED 13,13,0,0,-1,-1,-1,-1,1,NULL,
LED 14,14,0,0,-1,-1,-1,-1,1,NULL,
LED 15,15,0,0,-1,-1,-1,-1,1,NULL,
LED 16,16,0,0,-1,-1,-1,-1,1,NULL,
LED 17,17,0,0,-1,-1,-1,-1,1,NULL,
LED 18,18,0,0,-1,-1,-1,-1,1,NULL,
LED 19,19,0,0,-1,-1,-1,-1,1,NULL,
LED 20,20,0,0,-1,-1,-1,-1,1,NULL,
LED 21,0,1,1,794,1532,891,1588,1,Esc,
LED 22,1,1,0,-1,-1,-1,-1,1,NULL,
LED 23,2,1,1,1038,1532,1135,1588,1,F1,
LED 24,3,1,1,1156,1532,1253,1588,1,F2,
LED 25,4,1,1,1274,1532,1371,1588,1,F3,
LED 26,5,1,1,1392,1532,1489,1588,1,F4,
LED 27,6,1,0,-1,-1,-1,-1,1,NULL,
LED 28,7,1,1,1583,1532,1680,1588,1,F5,
LED 29,8,1,1,1701,1532,1798,1588,1,F6,
LED 30,9,1,1,1819,1532,1916,1588,1,F7,
LED 31,10,1,1,1937,1532,2034,1588,1,F8,
LED 32,11,1,0,-1,-1,-1,-1,1,NULL,
LED 33,12,1,1,2128,1532,2225,1588,1,F9,
LED 34,13,1,1,2246,1532,2343,1588,1,F10,
LED 35,14,1,1,2364,1532,2461,1588,1,F11,
LED 36,15,1,1,2482,1532,2579,1588,1,F12,
LED 37,16,1,0,-1,-1,-1,-1,1,NULL,
LED 38,17,1,1,2644,1532,2741,1588,1,Del,
LED 39,18,1,1,2765,1532,2862,1588,1,Pause,
LED 40,19,1,1,2883,1532,2980,1588,1,PrtSc,
LED 41,20,1,1,3004,1532,3101,1588,1,Home,
LED 42,0,2,1,794,1613,891,1711,1,~,
LED 43,1,2,1,914,1613,1011,1711,1,1,
LED 44,2,2,1,1034,1613,1131,1711,1,2,
LED 45,3,2,1,1154,1613,1251,1711,1,3,
LED 46,4,2,1,1274,1613,1371,1711,1,4,
LED 47,5,2,1,1394,1613,1491,1711,1,5,
LED 48,6,2,1,1515,1613,1612,1711,1,6,
LED 49,7,2,1,1636,1613,1733,1711,1,7,
LED 50,8,2,1,1757,1613,1854,1711,1,8,
LED 51,9,2,1,1878,1613,1975,1711,1,9,
LED 52,10,2,1,1999,1613,2096,1711,1,0,
LED 53,11,2,1,2120,1613,2217,1711,1,Minus,
LED 54,12,2,1,2241,1613,2338,1711,1,Equal,
LED 55,13,2,0,-1,-1,-1,-1,1,NULL,
LED 56,14,2,1,2361,1613,2579,1711,1,<,
LED 57,15,2,0,-1,-1,-1,-1,1,NULL,
LED 58,16,2,0,-1,-1,-1,-1,1,NULL,
LED 59,17,2,1,2644,1613,2741,1711,1,Num_Lock,
LED 60,18,2,1,2765,1613,2862,1711,1,Mem_/,
LED 61,19,2,1,2883,1613,2980,1711,1,Mem_*,
LED 62,20,2,1,3004,1613,3101,1711,1,Mem_-,
LED 63,0,3,1,794,1733,953,1831,1,Tab,
LED 64,1,3,1,976,1733,1073,1831,1,Q,
LED 65,2,3,1,1096,1733,1193,1831,1,W,
LED 66,3,3,1,1216,1733,1313,1831,1,E,
LED 67,4,3,1,1336,1733,1433,1831,1,R,
LED 68,5,3,1,1457,1733,1554,1831,1,T,
LED 69,6,3,1,1579,1733,1676,1831,1,Y,
LED 70,7,3,1,1699,1733,1796,1831,1,U,
LED 71,8,3,1,1819,1733,1916,1831,1,I,
LED 72,9,3,1,1941,1733,2038,1831,1,O,
LED 73,10,3,1,2062,1733,2159,1831,1,P,
LED 74,11,3,1,2181,1733,2278,1831,1,[,
LED 75,12,3,1,2303,1733,2400,1831,1,],
LED 76,13,3,0,-1,-1,-1,-1,1,NULL,
LED 77,14,3,0,-1,-1,-1,-1,1,NULL,
LED 78,15,3,1,2425,1733,2584,1831,1,\,
LED 79,16,3,0,-1,-1,-1,-1,1,NULL,
