Model,G703,,,,,,
UI_width,29,,,,,,
UI_height,19,,,,,,
,,,,,,,
Parameters,grid_x,grid_y,leftTop_x,leftTop_x,rightBottom_x,rightBottom_y,Z_index
LED 1,,,246,21,385,116,1
LED 2,,,340,270,362,281,2
LED 3,,,366,270,388,281,3
LED 4,,,392,270,414,281,4
LED 5,,,418,270,440,281,5
LED 6,,,289,291,311,305,6
LED 7,,,340,291,362,305,7
LED 8,,,366,291,388,305,8
LED 9,,,392,291,414,305,9
LED 10,,,418,291,440,305,10
LED 11,,,452,291,474,305,11
LED 12,,,478,291,500,305,12
LED 13,,,503,291,525,305,13
LED 14,,,529,291,551,305,14
LED 15,,,563,291,585,305,15
LED 16,,,589,291,611,305,16
LED 17,,,615,291,637,305,17
LED 18,,,641,291,663,305,18
LED 19,,,667,291,685,305,19
LED 20,,,689,291,706,305,20
LED 21,,,710,291,728,305,21
LED 22,,,731,291,749,305,22
LED 23,,,289,309,311,330,23
LED 24,,,315,309,336,330,24
LED 25,,,340,309,362,330,25
LED 26,,,366,309,388,330,26
LED 27,,,391,309,413,330,27
LED 28,,,417,309,439,330,28
LED 29,,,443,309,464,330,29
LED 30,,,468,309,490,330,30
LED 31,,,494,309,515,330,31
LED 32,,,519,309,541,330,32
LED 33,,,545,309,567,330,33
LED 34,,,571,309,592,330,34
LED 35,,,596,309,618,330,35
LED 36,,,622,309,663,330,36
LED 37,,,667,309,685,330,37
LED 38,,,689,309,706,330,38
LED 39,,,710,309,728,330,39
LED 40,,,731,309,749,330,40
LED 41,,,289,334,324,355,41
LED 42,,,328,334,349,355,42
LED 43,,,353,334,375,355,43
LED 44,,,379,334,400,355,44
LED 45,,,404,334,426,355,45
LED 46,,,430,334,451,355,46
LED 47,,,455,334,477,355,47
LED 48,,,481,334,503,355,48
LED 49,,,507,334,528,355,49
LED 50,,,532,334,554,355,50
LED 51,,,558,334,579,355,51
LED 52,,,583,334,605,355,52
LED 53,,,609,334,631,355,53
LED 54,,,634,334,663,355,54
LED 55,,,667,334,685,355,55
LED 56,,,689,334,706,355,56
LED 57,,,710,334,728,355,57
LED 58,,,731,334,749,380,58
LED 59,,,289,359,330,380,59
LED 60,,,334,359,356,380,60
LED 61,,,360,359,381,380,61
LED 62,,,385,359,407,380,62
LED 63,,,411,359,432,380,63
LED 64,,,436,359,458,380,64
LED 65,,,462,359,483,380,65
LED 66,,,487,359,509,380,66
LED 67,,,513,359,535,380,67
LED 68,,,539,359,560,380,68
LED 69,,,564,359,586,380,69
LED 70,,,590,359,611,380,70
LED 71,,,615,359,663,380,71
LED 72,,,667,359,685,380,72
LED 73,,,689,359,706,380,73
LED 74,,,710,359,728,380,74
LED 75,,,289,384,343,405,75
LED 76,,,347,384,368,405,76
LED 77,,,372,384,394,405,77
LED 78,,,398,384,420,405,78
LED 79,,,423,384,445,405,79
LED 80,,,449,384,471,405,80
LED 81,,,475,384,496,405,81
LED 82,,,500,384,522,405,82
LED 83,,,526,384,547,405,83
LED 84,,,551,384,573,405,84
LED 85,,,577,384,599,405,85
LED 86,,,602,384,663,405,86
LED 87,,,667,384,685,405,87
LED 88,,,689,384,706,405,88
LED 89,,,710,384,728,405,89
LED 90,,,731,384,749,430,90
LED 91,,,289,409,317,430,91
LED 92,,,321,409,343,430,92
LED 93,,,347,409,368,430,93
LED 94,,,372,409,394,430,94
LED 95,,,398,409,522,436,95
LED 96,,,526,409,547,430,96
LED 97,,,551,409,573,430,97
LED 98,,,577,409,599,430,98
LED 99,,,602,409,663,430,99
LED 100,,,667,409,685,430,100
LED 101,,,689,409,706,430,101
LED 102,,,710,409,728,430,102
LED 103,,,645,434,663,455,103
LED 104,,,667,434,685,455,104
LED 105,,,689,434,706,455,105
