Model,GX701
Parameters,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index
LED 0,1,37,72,166,81,1
LED 1,1,186,72,315,81,1
LED 2,1,335,72,464,81,1
LED 3,1,484,72,613,81,1
LED 4,1,281,299,368,357,1
LED 5,1,161,400,181,411,1
LED 6,1,125,426,144,436,1
LED 7,1,162,426,180,436,1
LED 8,1,183,426,201,436,1
LED 9,1,204,426,222,436,1
LED 10,1,225,426,243,436,1
LED 11,1,259,426,278,436,1
LED 12,1,281,426,299,436,1
LED 13,1,302,426,320,436,1
LED 14,1,323,426,341,436,1
LED 15,1,344,426,362,436,1
LED 16,1,365,426,384,436,1
LED 17,1,386,426,405,436,1
LED 18,1,408,426,426,436,1
LED 19,1,429,426,447,436,1
LED 20,1,452,426,467,436,1
LED 21,1,470,426,486,436,1
LED 22,1,489,426,504,436,1
LED 23,1,507,426,523,436,1
LED 24,1,142,439,161,456,1
LED 25,1,165,439,184,456,1
LED 26,1,187,439,206,456,1
LED 27,1,210,439,229,456,1
LED 28,1,232,439,251,456,1
LED 29,1,254,439,273,456,1
LED 30,1,277,439,296,456,1
LED 31,1,300,439,319,456,1
LED 32,1,322,439,341,456,1
LED 33,1,345,439,364,456,1
LED 34,1,367,439,386,456,1
LED 35,1,389,439,408,456,1
LED 36,1,412,439,447,456,1
LED 37,1,125,439,139,456,1
LED 38,1,125,460,151,477,1
LED 39,1,154,460,173,477,1
LED 40,1,176,460,195,477,1
LED 41,1,198,460,217,477,1
LED 42,1,221,460,240,477,1
LED 43,1,243,460,262,477,1
LED 44,1,266,460,285,477,1
LED 45,1,288,460,307,477,1
LED 46,1,311,460,330,477,1
LED 47,1,333,460,352,477,1
LED 48,1,355,460,374,477,1
LED 49,1,378,460,397,477,1
LED 50,1,400,460,419,477,1
LED 51,1,422,460,447,477,1
LED 52,1,125,481,156,498,1
LED 53,1,159,481,178,498,1
LED 54,1,182,481,201,498,1
LED 55,1,204,481,223,498,1
LED 56,1,227,481,246,498,1
LED 57,1,249,481,268,498,1
LED 58,1,271,481,290,498,1
LED 59,1,294,481,313,498,1
LED 60,1,316,481,335,498,1
LED 61,1,339,481,358,498,1
LED 62,1,361,481,380,498,1
LED 63,1,383,481,402,498,1
LED 64,1,406,481,447,498,1
LED 65,1,125,501,168,519,1
LED 66,1,171,501,190,519,1
LED 67,1,193,501,212,519,1
LED 68,1,215,501,234,519,1
LED 69,1,238,501,257,519,1
LED 70,1,260,501,279,519,1
LED 71,1,283,501,302,519,1
LED 72,1,305,501,324,519,1
LED 73,1,328,501,347,519,1
LED 74,1,350,501,369,519,1
LED 75,1,372,501,391,519,1
LED 76,1,395,501,447,519,1
LED 77,1,125,522,144,544,1
LED 78,1,149,522,168,544,1
LED 79,1,171,522,190,544,1
LED 80,1,193,522,212,544,1
LED 81,1,215,522,324,544,1
LED 82,1,328,522,347,544,1
LED 83,1,350,522,369,544,1
LED 84,1,372,522,391,544,1
LED 85,1,413,522,429,533,1
LED 86,1,394,536,410,548,1
LED 87,1,413,536,429,548,1
LED 88,1,432,536,447,548,1
