Model,Flare_UK,,,,,,,,,
GridWidth,25,,,,,,,,,
GridHeight,14,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,1,274,457,373,556,0,ESC,
LED 1,1,0,0,-1,-1,-1,-1,0,,
LED 2,2,0,0,-1,-1,-1,-1,0,,
LED 3,3,0,1,542,457,641,556,0,F1,
LED 4,4,0,1,682,457,781,556,0,F2,
LED 5,5,0,1,822,457,921,556,0,F3,
LED 6,6,0,1,962,457,1061,556,0,F4,
LED 7,7,0,0,-1,-1,-1,-1,0,,
LED 8,8,0,1,1158,457,1257,556,0,F5,
LED 9,9,0,1,1298,457,1397,556,0,F6,
LED 10,10,0,1,1438,457,1537,556,0,F7,
LED 11,11,0,1,1578,457,1677,556,0,F8,
LED 12,12,0,1,1774,457,1873,556,0,F9,
LED 13,13,0,1,1914,457,2013,556,0,F10,
LED 14,14,0,1,2054,457,2153,556,0,F11,
LED 15,15,0,1,2194,457,2293,556,0,F12,
LED 16,16,0,1,2360,457,2459,556,0,PRINT,
LED 17,17,0,1,2500,457,2599,556,0,SCROLL,
LED 18,18,0,1,2640,457,2739,556,0,PAUSE,
LED 19,19,0,0,-1,-1,-1,-1,0,G1,
LED 20,20,0,0,-1,-1,-1,-1,0,G2,
LED 21,21,0,0,-1,-1,-1,-1,0,G3,
LED 22,22,0,0,-1,-1,-1,-1,0,G4,
LED 23,23,0,0,-1,-1,-1,-1,0,ROG Logo,
LED 24,0,1,1,274,654,373,753,0,TLIDE,
LED 25,1,1,0,-1,-1,-1,-1,0,,
LED 26,2,1,1,406,654,505,753,0,1,
LED 27,3,1,1,542,654,641,753,0,2,
LED 28,4,1,1,683,654,782,753,0,3,
LED 29,5,1,1,820,654,919,753,0,4,
LED 30,6,1,1,957,654,1056,753,0,5,
LED 31,7,1,1,1090,654,1189,753,0,6,
LED 32,8,1,1,1227,654,1326,753,0,7,
LED 33,9,1,1,1364,654,1463,753,0,8,
LED 34,10,1,1,1504,654,1603,753,0,9,
LED 35,11,1,1,1646,654,1745,753,0,0,
LED 36,12,1,1,1779,654,1878,753,0,NEG,
LED 37,13,1,1,1917,654,2016,753,0,EQUATION,
LED 38,14,1,0,-1,-1,-1,-1,0,,
LED 39,15,1,1,2054,654,2286,753,0,BACKSPACE,
LED 40,16,1,1,2364,654,2463,753,0,INSERT,
LED 41,17,1,1,2501,654,2600,753,0,HOME,
LED 42,18,1,1,2637,654,2736,753,0,PGUP,
LED 43,19,1,1,2814,654,2913,753,0,NUM_LOCK,
LED 44,20,1,1,2951,654,3050,753,0,NUM_DIV,
LED 45,21,1,1,3087,654,3186,753,0,NUM_STAR,
LED 46,22,1,1,3222,654,3321,753,0,NUM_NEG,
LED 47,23,1,0,-1,-1,-1,-1,0,L_LED,
LED 48,0,2,1,275,791,442,890,0,TAB,
LED 49,1,2,0,-1,-1,-1,-1,0,,
LED 50,2,2,1,479,791,578,890,0,Q,
LED 51,3,2,1,615,791,714,890,0,W,
LED 52,4,2,1,752,791,851,890,0,E,
LED 53,5,2,1,889,791,988,890,0,R,
LED 54,6,2,1,1026,791,1125,890,0,T,
LED 55,7,2,1,1159,791,1258,890,0,Y,
LED 56,8,2,1,1296,791,1395,890,0,U,
LED 57,9,2,1,1433,791,1532,890,0,I,
LED 58,10,2,1,1573,791,1672,890,0,O,
LED 59,11,2,1,1715,791,1814,890,0,P,
LED 60,12,2,1,1848,791,1947,890,0,L_BRACKETS,
LED 61,13,2,1,1986,791,2085,890,0,R_BRACKETS,
LED 62,14,2,0,-1,-1,-1,-1,0,,
LED 63,15,2,0,-1,-1,-1,-1,0,BACKSLASH,
