GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,1,772,1702,1352,2691,,ZONE1,
LED 1,8,0,1,1360,1702,1940,2691,,ZONE2,
LED 2,16,0,1,1948,1702,2528,2691,,ZONE3,
LED 3,24,0,1,2536,1702,3116,2691,,ZONE4,
LED 4,0,0,1,573,124,1090,404,,LOGO,
LED 5,24,0,1,3390,1564,3438,3304,,LIGHTBAR_R1,
LED 6,24,0,1,3236,3324,3438,3527,,LIGHTBAR_R2,bar_b_r.png
LED 7,24,0,1,1977,3479,3216,3527,,LIGHTBAR_R3,
LED 8,0,0,1,665,3479,1905,3527,,LIGHTBAR_L3,
LED 9,0,0,1,443,3324,645,3527,,LIGHTBAR_L2,bar_b_l.png
LED 10,0,0,1,443,1564,491,3304,,LIGHTBAR_L1,
