GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,1,678,62,1190,402,1,LOGO,
LED 1,1,0,0,-1,-1,-1,-1,1,NULL,
LED 2,2,0,1,1021,1679,1131,1734,1,VOLUME_DN,
LED 3,3,0,1,1154,1679,1264,1734,1,VOLUME_UP,
LED 4,4,0,1,1288,1679,1398,1734,1,MUTE,
LED 5,5,0,1,1422,1679,1532,1734,1,SUN,
LED 6,6,0,1,1555,1679,1665,1734,1,ROG,
LED 7,7,0,0,-1,-1,-1,-1,1,NULL,
LED 8,8,0,0,-1,-1,-1,-1,1,NULL,
LED 9,9,0,0,-1,-1,-1,-1,1,NULL,
LED 10,10,0,0,-1,-1,-1,-1,1,NULL,
LED 11,11,0,0,-1,-1,-1,-1,1,NULL,
LED 12,12,0,0,-1,-1,-1,-1,1,NULL,
LED 13,13,0,0,-1,-1,-1,-1,1,NULL,
LED 14,14,0,0,-1,-1,-1,-1,1,NULL,
LED 15,15,0,0,-1,-1,-1,-1,1,NULL,
LED 16,16,0,0,-1,-1,-1,-1,1,NULL,
LED 17,17,0,0,-1,-1,-1,-1,1,NULL,
LED 18,18,0,0,-1,-1,-1,-1,1,NULL,
LED 19,19,0,0,-1,-1,-1,-1,1,NULL,
LED 20,20,0,0,-1,-1,-1,-1,1,NULL,
LED 21,0,1,1,760,1793,868,1856,1,Esc,
LED 22,1,1,0,-1,-1,-1,-1,1,NULL,
LED 23,2,1,1,1022,1793,1132,1856,1,F1,
LED 24,3,1,1,1154,1793,1264,1856,1,F2,
LED 25,4,1,1,1288,1793,1398,1856,1,F3,
LED 26,5,1,1,1422,1793,1532,1856,1,F4,
LED 27,6,1,0,-1,-1,-1,-1,1,NULL,
LED 28,7,1,1,1596,1793,1706,1856,1,F5,
LED 29,8,1,1,1729,1793,1839,1856,1,F6,
LED 30,9,1,1,1863,1793,1972,1856,1,F7,
LED 31,10,1,1,1996,1793,2106,1856,1,F8,
LED 32,11,1,0,2067,2557,2170,2612,1,NULL,
LED 33,12,1,1,2169,1793,2279,1856,1,F9,
LED 34,13,1,1,2303,1793,2413,1856,1,F10,
LED 35,14,1,1,2437,1793,2546,1856,1,F11,
LED 36,15,1,1,2569,1793,2679,1856,1,F12,
LED 37,16,1,1,2703,1793,2789,1857,1,DEL,
LED 38,17,1,1,2813,1793,2899,1857,1,PAUSE,
LED 39,18,1,1,2921,1793,3007,1857,1,PRTSC,
LED 40,19,1,1,3032,1793,3118,1857,1,HOME,
LED 41,20,1,0,3032,1793,3118,1857,1,NULL,
LED 42,0,2,1,758,1882,869,1987,1,~,
LED 43,1,2,1,891,1882,998,1986,1,1,
LED 44,2,2,1,1023,1882,1131,1986,1,2,
LED 45,3,2,1,1154,1882,1262,1986,1,3,
LED 46,4,2,1,1287,1882,1395,1986,1,4,
LED 47,5,2,1,1418,1882,1526,1986,1,5,
LED 48,6,2,1,1550,1882,1658,1986,1,6,
LED 49,7,2,1,1681,1882,1789,1986,1,7,
LED 50,8,2,1,1813,1882,1920,1986,1,8,
LED 51,9,2,1,1945,1882,2052,1986,1,9,
LED 52,10,2,1,2077,1882,2185,1986,1,0,
LED 53,11,2,1,2208,1882,2316,1986,1,Minus,
LED 54,12,2,1,2341,1882,2448,1986,1,Equal,
LED 55,13,2,0,2471,1882,2679,1986,1,NULL,
LED 56,14,2,1,2471,1882,2679,1986,1,Back,
LED 57,15,2,0,-1,-1,-1,-1,1,NULL,
LED 58,16,2,1,2703,1882,2789,1986,1,NUMLOCK,
LED 59,17,2,1,2813,1882,2899,1986,1,NUM /,
LED 60,18,2,1,2921,1882,3007,1986,1,NUM *,
LED 61,19,2,1,3032,1882,3118,1986,1,NUM -,
