GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,0,-1,-1,-1,-1,1,NULL,
LED 1,1,0,0,-1,-1,-1,-1,1,NULL,
LED 2,2,0,0,-1,-1,-1,-1,1,NULL,
LED 3,3,0,0,-1,-1,-1,-1,1,NULL,
LED 4,4,0,0,-1,-1,-1,-1,1,NULL,
LED 5,5,0,0,-1,-1,-1,-1,1,NULL,
LED 6,6,0,0,-1,-1,-1,-1,1,NULL,
LED 7,7,0,0,-1,-1,-1,-1,1,NULL,
LED 8,8,0,0,-1,-1,-1,-1,1,NULL,
LED 9,9,0,0,-1,-1,-1,-1,1,NULL,
LED 10,10,0,0,1690,1798,2201,2137,1,NULL,
LED 11,11,0,0,223,437,3678,484,1,NULL,
LED 12,12,0,0,-1,-1,-1,-1,1,NULL,
LED 13,13,0,0,-1,-1,-1,-1,1,NULL,
LED 14,14,0,0,-1,-1,-1,-1,1,NULL,
LED 15,15,0,0,-1,-1,-1,-1,1,NULL,
LED 16,16,0,0,-1,-1,-1,-1,1,NULL,
LED 17,17,0,0,-1,-1,-1,-1,1,NULL,
LED 18,18,0,0,-1,-1,-1,-1,1,NULL,
LED 19,19,0,0,-1,-1,-1,-1,1,NULL,
LED 20,20,0,0,-1,-1,-1,-1,1,NULL,
LED 21,0,1,1,754,2557,857,2612,1,Esc,
LED 22,1,1,0,-1,-1,-1,-1,1,NULL,
LED 23,2,1,1,972,2557,1075,2612,1,F1,
LED 24,3,1,1,1099,2557,1202,2612,1,F2,
LED 25,4,1,1,1226,2557,1329,2612,1,F3,
LED 26,5,1,1,1353,2557,1456,2612,1,F4,
LED 27,6,1,0,-1,-1,-1,-1,1,NULL,
LED 28,7,1,1,1559,2557,1662,2612,1,F5,
LED 29,8,1,1,1686,2557,1789,2612,1,F6,
LED 30,9,1,1,1813,2557,1916,2612,1,F7,
LED 31,10,1,1,1940,2557,2043,2612,1,F8,
LED 32,11,1,1,2067,2557,2170,2612,1,F9,
LED 33,12,1,1,2194,2557,2297,2612,1,F10,
LED 34,13,1,1,2321,2557,2424,2612,1,F11,
LED 35,14,1,1,2448,2557,2551,2612,1,F12,
LED 36,15,1,1,2575,2557,2678,2612,1,Delete,
LED 37,16,1,1,2712,2557,2799,2612,1,Touchpad,
LED 38,17,1,1,2823,2557,2910,2612,1,Rog,
LED 39,18,1,1,2934,2557,3021,2612,1,PageUp,
LED 40,19,1,1,3045,2557,3132,2612,1,PageDown,
LED 41,20,1,0,-1,-1,-1,-1,1,NULL,
LED 42,0,2,1,754,2639,829,2734,1,~,
LED 43,1,2,1,855,2638,962,2734,1,1,
LED 44,2,2,1,991,2638,1098,2734,1,2,
LED 45,3,2,1,1125,2638,1232,2734,1,3,
LED 46,4,2,1,1260,2638,1367,2734,1,4,
LED 47,5,2,1,1396,2638,1503,2734,1,5,
LED 48,6,2,1,1529,2638,1636,2734,1,6,
LED 49,7,2,1,1665,2638,1772,2734,1,7,
LED 50,8,2,1,1801,2638,1908,2734,1,8,
LED 51,9,2,1,1934,2638,2041,2734,1,9,
LED 52,10,2,1,2070,2638,2177,2734,1,0,
LED 53,11,2,1,2203,2638,2310,2734,1,Minus,
LED 54,12,2,1,2337,2638,2444,2734,1,Equal,
LED 55,13,2,0,-1,-1,-1,-1,1,NULL,
LED 56,14,2,1,2473,2638,2678,2734,1,Back,
LED 57,15,2,0,-1,-1,-1,-1,1,NULL,
LED 58,16,2,0,-1,-1,-1,-1,1,NULL,
LED 59,17,2,0,-1,-1,-1,-1,1,NULL,
LED 60,18,2,0,-1,-1,-1,-1,1,NULL,
LED 61,19,2,0,-1,-1,-1,-1,1,NULL,
LED 62,20,2,0,-1,-1,-1,-1,1,NULL,
LED 63,0,3,1,754,2763,899,2859,1,Tab,
LED 64,1,3,1,924,2763,1031,2859,1,Q,
LED 65,2,3,1,1058,2763,1165,2859,1,W,
LED 66,3,3,1,1192,2763,1299,2859,1,E,
LED 67,4,3,1,1326,2763,1433,2859,1,R,
LED 68,5,3,1,1462,2763,1569,2859,1,T,
LED 69,6,3,1,1596,2763,1703,2859,1,Y,
LED 70,7,3,1,1730,2763,1837,2859,1,U,
LED 71,8,3,1,1866,2763,1973,2859,1,I,
LED 72,9,3,1,2000,2763,2107,2859,1,O,
LED 73,10,3,1,2134,2763,2241,2859,1,P,
LED 74,11,3,1,2269,2763,2376,2859,1,[,
LED 75,12,3,1,2404,2763,2511,2859,1,],
LED 76,13,3,1,-1,-1,-1,-1,1,\,
LED 77,14,3,1,2533,2763,2678,2859,1,Enter,
LED 78,15,3,0,-1,-1,-1,-1,1,NULL,
LED 79,16,3,0,-1,-1,-1,-1,1,NULL,
LED 80,17,3,0,-1,-1,-1,-1,1,Num_7,
LED 81,18,3,0,-1,-1,-1,-1,1,Num_8,
LED 82,19,3,0,-1,-1,-1,-1,1,Num_9,
LED 83,20,3,0,-1,-1,-1,-1,1,Num_+,
LED 84,0,4,1,754,2887,933,2983,1,Cap,
LED 85,1,4,1,958,2887,1065,2983,1,A,
LED 86,2,4,1,1092,2887,1199,2983,1,S,
LED 87,3,4,1,1227,2887,1334,2983,1,D,
LED 88,4,4,1,1362,2887,1469,2983,1,F,
LED 89,5,4,1,1497,2887,1604,2983,1,G,
LED 90,6,4,1,1631,2887,1738,2983,1,H,
LED 91,7,4,1,1766,2887,1873,2983,1,J,
LED 92,8,4,1,1901,2887,2008,2983,1,K,
