GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 0,0,0,0,-1,-1,-1,-1,1,NULL,
LED 1,0,1,0,-1,-1,-1,-1,1,NULL,
LED 2,0,2,0,-1,-1,-1,-1,1,VOLUME,
LED 3,0,3,0,-1,-1,-1,-1,1,NULL,
LED 4,0,4,0,-1,-1,-1,-1,1,NULL,
LED 5,0,5,0,-1,-1,-1,-1,1,NULL,
LED 6,0,6,0,-1,-1,-1,-1,1,NULL,
LED 7,0,7,0,-1,-1,-1,-1,1,NULL,
LED 8,0,8,0,-1,-1,-1,-1,1,NULL,
LED 9,0,9,1,223,437,3678,484,1,ButtomLED,
LED 10,0,10,1,1690,1798,2201,2137,1,LOGO,
LED 11,0,11,0,-1,-1,-1,-1,1,NULL,
LED 12,0,12,0,-1,-1,-1,-1,1,NULL,
LED 13,0,13,0,-1,-1,-1,-1,1,NULL,
LED 14,0,14,0,-1,-1,-1,-1,1,NULL,
LED 15,0,15,0,-1,-1,-1,-1,1,NULL,
LED 16,0,16,0,-1,-1,-1,-1,1,NULL,
LED 17,0,17,0,-1,-1,-1,-1,1,NULL,
LED 18,0,18,0,-1,-1,-1,-1,1,NULL,
LED 19,0,19,0,-1,-1,-1,-1,1,NULL,
LED 20,0,20,0,-1,-1,-1,-1,1,NULL,
LED 21,1,0,1,754,2557,857,2612,1,Esc,
LED 22,1,1,0,-1,-1,-1,-1,1,NULL,
LED 23,1,2,1,972,2557,1075,2612,1,F1,
LED 24,1,3,1,1099,2557,1202,2612,1,F2,
LED 25,1,4,1,1226,2557,1329,2612,1,F3,
LED 26,1,5,1,1353,2557,1456,2612,1,F4,
LED 27,1,6,0,-1,-1,-1,-1,1,NULL,
LED 28,1,7,1,1559,2557,1662,2612,1,F5,
LED 29,1,8,1,1686,2557,1789,2612,1,F6,
LED 30,1,9,1,1813,2557,1916,2612,1,F7,
LED 31,1,10,1,1940,2557,2043,2612,1,F8,
LED 32,1,11,1,2067,2557,2170,2612,1,F9,
LED 33,1,12,1,2194,2557,2297,2612,1,F10,
